Step	Time	Epot	Ekin	Etot	T
369	0.000369	0.003388	946.246646	946.250034	1.047820
370	0.000370	0.003409	946.249567	946.252976	1.047823
371	0.000371	0.003429	946.252493	946.255922	1.047826
372	0.000372	0.003450	946.255422	946.258871	1.047830
373	0.000373	0.003470	946.258355	946.261825	1.047833
374	0.000374	0.003491	946.261293	946.264784	1.047836
375	0.000375	0.003512	946.264235	946.267746	1.047839
376	0.000376	0.003532	946.267181	946.270713	1.047843
377	0.000377	0.003553	946.270131	946.273684	1.047846
378	0.000378	0.003574	946.273085	946.276659	1.047849
379	0.000379	0.003595	946.276043	946.279639	1.047853
380	0.000380	0.003617	946.279006	946.282622	1.047856
381	0.000381	0.003638	946.281972	946.285610	1.047859
382	0.000382	0.003659	946.284943	946.288602	1.047862
383	0.000383	0.003681	946.287918	946.291599	1.047866
384	0.000384	0.003702	946.290897	946.294599	1.047869
385	0.000385	0.003724	946.293880	946.297604	1.047872
386	0.000386	0.003745	946.296868	946.300613	1.047876
387	0.000387	0.003767	946.299859	946.303626	1.047879
388	0.000388	0.003789	946.302855	946.306644	1.047882
389	0.000389	0.003811	946.305855	946.309665	1.047886
390	0.000390	0.003833	946.308859	946.312691	1.047889
391	0.000391	0.003855	946.311867	946.315721	1.047892
392	0.000392	0.003877	946.314879	946.318755	1.047896
393	0.000393	0.003899	946.317895	946.321794	1.047899
394	0.000394	0.003921	946.320916	946.324837	1.047902
395	0.000395	0.003943	946.323940	946.327884	1.047906
396	0.000396	0.003966	946.326969	946.330935	1.047909
397	0.000397	0.003988	946.330002	946.333990	1.047912
398	0.000398	0.004011	946.333039	946.337050	1.047916
399	0.000399	0.004034	946.336080	946.340114	1.047919
400	0.000400	0.004056	946.339126	946.343182	1.047922
401	0.000401	0.004079	946.342175	946.346254	1.047926
402	0.000402	0.004102	946.345229	946.349331	1.047929
403	0.000403	0.004125	946.348286	946.352411	1.047932
404	0.000404	0.004148	946.351348	946.355496	1.047936
405	0.000405	0.004171	946.354414	946.358586	1.047939
406	0.000406	0.004195	946.357484	946.361679	1.047943
407	0.000407	0.004218	946.360559	946.364777	1.047946
408	0.000408	0.004241	946.363637	946.367878	1.047949
409	0.000409	0.004265	946.366720	946.370985	1.047953
410	0.000410	0.004289	946.369806	946.374095	1.047956
411	0.000411	0.004312	946.372897	946.377209	1.047960
412	0.000412	0.004336	946.375992	946.380328	1.047963
413	0.000413	0.004360	946.379091	946.383451	1.047967
414	0.000414	0.004384	946.382194	946.386578	1.047970
415	0.000415	0.004408	946.385302	946.389709	1.047973
